book_id,similar_book_id,similarity_score,rank
79,75,0.1708,6
79,68,0.15,7
79,39,0.1156,8
79,11,0.0757,9
79,37,0.0592,10
80,37,0.1,1
80,38,0.1,2
80,39,0.1,3
80,40,0.1,4
80,55,0.1,5
80,56,0.1,6
80,57,0.1,7
80,61,0.1,8
80,62,0.1,9
80,63,0.1,10
81,58,0.3656,1
81,60,0.3656,2
81,24,0.3647,3
81,59,0.3639,4
81,22,0.3632,5
81,23,0.3632,6
81,21,0.3625,7
81,26,0.3625,8
81,38,0.1208,9
81,75,0.1063,10
82,83,0.3794,1
82,25,0.1922,2
82,3,0.1757,3
82,39,0.1601,4
82,74,0.1583,5
82,38,0.1576,6
82,4,0.1139,7
82,58,0.1111,8
82,37,0.1,9
82,40,0.1,10
83,82,0.3794,1
83,37,0.1,2
83,38,0.1,3
83,39,0.1,4
83,40,0.1,5
83,55,0.1,6
83,56,0.1,7
83,57,0.1,8
83,61,0.1,9
83,62,0.1,10
84,46,0.3647,1
84,45,0.3632,2
84,47,0.3632,3
84,48,0.3632,4
84,49,0.3632,5
84,50,0.3632,6
84,51,0.3625,7
84,52,0.0583,8
84,53,0.0576,9
84,78,0.0576,10
